,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
536,male,group C,associate's degree,standard,completed,5.1,60,58
537,female,group D,high school,standard,none,5.1,66,62
538,male,group E,bachelor's degree,standard,completed,8.5,66,71
539,male,group A,associate's degree,standard,completed,9.7,92,86
540,male,group C,high school,standard,completed,7.5,69,68
541,male,group D,associate's degree,free/reduced,completed,7.9,82,80
542,female,group C,associate's degree,standard,none,8.1,77,79
543,female,group D,associate's degree,standard,none,8.2,95,89
544,female,group D,master's degree,standard,none,6.4,63,66
545,male,group E,some high school,free/reduced,completed,7.8,83,80
546,female,group A,some high school,standard,completed,9.2,100,97
547,male,group C,high school,standard,completed,7.2,67,64
548,female,group C,high school,free/reduced,none,6.2,67,64
549,male,group C,master's degree,standard,none,7.9,72,69
550,male,group C,some high school,free/reduced,none,7.9,76,65
551,male,group B,bachelor's degree,free/reduced,completed,8.7,90,88
552,female,group B,associate's degree,standard,none,4.0,48,50
553,male,group D,some college,free/reduced,none,7.7,62,64
554,male,group E,associate's degree,standard,none,5.3,45,40
555,female,group C,some college,free/reduced,none,3.2,39,33
556,female,group C,associate's degree,standard,completed,5.5,72,79
557,male,group C,master's degree,free/reduced,none,6.1,67,66
558,female,group B,associate's degree,free/reduced,none,5.3,70,70
559,male,group D,some high school,standard,none,7.3,66,62
560,female,group D,some college,standard,completed,7.4,75,79
561,female,group C,some college,standard,none,6.3,74,74
562,male,group C,bachelor's degree,standard,completed,9.6,90,92
563,female,group D,some college,free/reduced,completed,6.3,80,80
564,male,group B,bachelor's degree,free/reduced,none,4.8,51,46
565,male,group B,associate's degree,standard,none,4.8,43,45
566,female,group E,bachelor's degree,free/reduced,completed,9.2,100,100
567,female,group D,master's degree,free/reduced,completed,6.1,71,78
568,male,group B,high school,free/reduced,none,6.3,48,47
569,male,group D,bachelor's degree,free/reduced,none,6.8,68,67
570,male,group B,some college,standard,completed,7.1,75,70
571,male,group A,bachelor's degree,standard,none,9.1,96,92
572,female,group C,some college,standard,none,5.3,62,56
573,female,group C,high school,free/reduced,completed,5.0,66,64
574,female,group E,high school,standard,none,7.4,81,71
575,male,group A,associate's degree,free/reduced,completed,4.0,55,53
576,male,group A,some college,standard,completed,6.1,51,52
577,female,group B,high school,standard,none,8.1,91,89
578,female,group B,some college,free/reduced,completed,4.8,56,58
579,female,group D,master's degree,standard,none,5.3,61,68
580,female,group D,some high school,standard,none,8.1,97,96
581,female,group E,some high school,standard,none,7.7,79,80
582,female,group D,bachelor's degree,free/reduced,none,6.3,73,78
583,female,group D,associate's degree,standard,completed,7.3,75,80
584,female,group D,some college,standard,none,6.9,77,77
585,female,group C,associate's degree,standard,none,6.5,76,76
586,female,group A,high school,standard,none,5.5,73,73
587,female,group C,bachelor's degree,free/reduced,none,4.4,63,62
588,female,group C,some college,standard,none,5.4,64,65
589,female,group A,some high school,standard,none,4.8,66,65
590,male,group C,some college,free/reduced,none,5.8,57,54
591,male,group A,some high school,standard,none,7.1,62,50
592,male,group E,bachelor's degree,standard,none,6.8,68,64
593,female,group E,high school,standard,none,7.4,76,73
594,female,group C,bachelor's degree,standard,completed,9.2,100,99
595,female,group C,bachelor's degree,standard,completed,5.6,79,72
596,male,group B,high school,free/reduced,none,3.0,24,15
597,male,group A,some high school,standard,none,5.3,54,48
598,female,group D,high school,standard,none,6.9,77,73
599,female,group D,some high school,standard,none,6.5,82,81
600,female,group D,master's degree,standard,none,5.4,60,63
601,female,group C,high school,standard,none,2.9,29,30
602,female,group E,some college,standard,none,7.6,78,80
603,male,group D,high school,free/reduced,none,6.0,57,51
604,male,group D,master's degree,free/reduced,completed,8.4,89,90
605,male,group C,some high school,standard,none,7.5,72,62
606,female,group C,associate's degree,standard,none,8.5,84,82
607,female,group C,master's degree,free/reduced,none,4.0,58,54
608,female,group E,some college,standard,none,6.1,64,62
609,female,group B,associate's degree,standard,none,5.8,63,65
610,male,group D,some college,free/reduced,completed,6.9,60,63
611,female,group C,some college,standard,none,5.8,59,66
612,male,group C,bachelor's degree,standard,completed,9.4,90,91
613,female,group C,associate's degree,standard,none,6.5,77,74
614,female,group A,associate's degree,standard,none,8.2,93,93
615,female,group C,high school,standard,none,6.0,68,72
616,female,group E,bachelor's degree,standard,none,3.7,45,38
617,male,group D,bachelor's degree,standard,none,8.8,78,83
618,male,group D,master's degree,standard,none,9.5,81,84
619,male,group C,associate's degree,free/reduced,completed,6.5,73,68
620,female,group C,high school,free/reduced,none,3.5,61,54
621,male,group B,bachelor's degree,free/reduced,none,6.2,63,56
622,male,group C,high school,free/reduced,completed,5.8,51,52
623,male,group A,some college,standard,completed,10.0,96,86
624,female,group E,bachelor's degree,free/reduced,none,6.1,58,62
625,male,group D,some college,standard,completed,10.0,97,99
626,male,group B,associate's degree,free/reduced,completed,6.9,70,63
627,male,group D,associate's degree,standard,none,6.1,48,46
628,male,group D,some college,free/reduced,none,4.9,57,46
629,female,group C,some high school,standard,completed,4.4,51,55
630,male,group D,some college,standard,none,6.7,64,70
631,male,group B,high school,standard,none,7.9,60,65
632,female,group B,bachelor's degree,standard,completed,6.6,74,81
633,female,group C,high school,standard,none,7.5,88,85
634,male,group D,some high school,standard,none,8.4,84,80
635,male,group A,high school,standard,none,7.1,74,64
636,female,group B,high school,free/reduced,completed,6.7,80,81
637,female,group D,some high school,standard,completed,8.0,92,88
638,male,group E,some college,standard,none,8.6,76,74
639,female,group D,associate's degree,standard,none,7.6,74,73
640,male,group D,high school,standard,none,4.1,52,51
641,female,group D,associate's degree,free/reduced,completed,7.4,88,90
642,female,group B,some high school,free/reduced,none,7.2,81,79
643,female,group E,high school,standard,completed,7.4,79,80
644,male,group B,high school,standard,none,7.0,65,60
645,female,group B,bachelor's degree,standard,completed,6.5,81,81
646,female,group D,associate's degree,standard,none,5.9,70,65
647,female,group E,high school,free/reduced,none,6.4,62,68
648,female,group B,high school,standard,none,5.0,53,55
649,female,group D,some college,standard,completed,6.9,79,81
650,male,group C,some high school,free/reduced,completed,5.1,56,53
651,female,group A,high school,standard,completed,6.8,80,76
652,female,group D,some college,standard,completed,8.5,86,98
653,female,group A,associate's degree,standard,completed,6.5,70,74
654,female,group B,some high school,standard,none,7.3,79,79
655,female,group B,some college,standard,none,6.2,67,67
656,male,group C,associate's degree,free/reduced,none,7.7,67,64
657,male,group D,some high school,standard,none,6.9,66,61
658,female,group D,associate's degree,free/reduced,none,4.3,60,58
659,male,group D,associate's degree,standard,none,9.0,87,85
660,male,group C,some college,free/reduced,none,7.4,77,73
661,male,group C,some high school,standard,none,7.3,66,63
662,female,group D,some college,free/reduced,none,5.5,71,69
663,female,group C,high school,standard,none,6.5,69,67
664,male,group D,associate's degree,standard,none,8.0,63,63
665,female,group C,some high school,free/reduced,completed,5.0,60,60
666,female,group C,some college,free/reduced,completed,6.3,73,71
667,female,group B,bachelor's degree,free/reduced,none,7.7,85,87
668,male,group C,some college,standard,none,7.3,74,61
669,male,group D,associate's degree,standard,completed,8.1,72,77
670,female,group C,high school,free/reduced,none,6.6,76,68
671,male,group D,associate's degree,free/reduced,none,5.2,57,50
672,female,group C,some college,standard,none,6.9,78,76
673,female,group C,associate's degree,standard,completed,6.5,84,84
674,female,group D,high school,standard,completed,6.9,77,78
675,female,group B,some college,standard,completed,5.0,64,66
676,female,group E,some college,standard,completed,7.3,78,76
677,female,group C,some high school,standard,completed,7.0,82,76
678,male,group D,associate's degree,free/reduced,none,8.1,75,78
679,male,group D,some college,free/reduced,none,6.3,61,60
680,female,group D,high school,standard,none,6.7,72,74
681,male,group B,high school,standard,none,6.0,68,60
682,male,group B,high school,standard,none,6.2,55,54
683,female,group C,some high school,free/reduced,completed,2.9,40,44
684,male,group B,some college,standard,completed,6.2,66,68
685,female,group E,master's degree,standard,completed,9.4,99,100
686,male,group E,some college,standard,completed,8.5,75,68
687,male,group D,associate's degree,free/reduced,none,7.7,78,73
688,male,group A,high school,free/reduced,none,5.3,58,44
689,male,group E,some college,free/reduced,none,9.3,90,83
690,female,group C,associate's degree,standard,none,4.9,53,53
691,female,group E,associate's degree,free/reduced,none,7.3,76,78
692,female,group C,bachelor's degree,free/reduced,completed,6.6,74,81
693,female,group D,associate's degree,standard,none,7.7,77,73
694,female,group C,some high school,standard,none,4.9,63,56
695,female,group D,some college,free/reduced,none,7.9,89,86
696,female,group C,associate's degree,standard,completed,7.5,82,90
697,female,group A,bachelor's degree,standard,none,5.9,72,70
698,female,group D,associate's degree,standard,completed,5.7,78,79
699,male,group C,high school,free/reduced,none,6.6,66,59
700,female,group E,bachelor's degree,standard,completed,7.9,81,82
701,female,group B,some high school,standard,none,5.7,67,72
702,male,group A,bachelor's degree,standard,completed,8.7,84,87
703,female,group D,some college,standard,none,6.3,64,67
704,female,group B,some high school,free/reduced,completed,5.9,63,64
705,male,group A,bachelor's degree,free/reduced,none,6.2,72,65
706,male,group D,high school,standard,none,4.6,34,36
707,male,group C,some college,standard,none,6.6,59,52
708,male,group D,high school,standard,none,8.9,87,79
709,female,group D,associate's degree,free/reduced,completed,4.2,61,58
710,male,group C,some college,standard,completed,9.3,84,90
711,female,group E,some high school,standard,completed,8.0,85,85
712,female,group D,some college,standard,none,9.8,100,99
713,male,group D,master's degree,standard,none,8.1,81,84
714,female,group B,some high school,standard,completed,6.0,70,74
715,female,group B,associate's degree,free/reduced,completed,7.6,94,87
716,male,group C,associate's degree,standard,completed,7.3,78,72
717,female,group C,associate's degree,standard,completed,9.6,96,99
718,female,group C,high school,standard,none,7.6,76,74
719,male,group E,associate's degree,free/reduced,completed,9.1,73,80
720,female,group C,some college,free/reduced,none,6.2,72,70
721,male,group D,some high school,free/reduced,completed,5.5,59,59
722,female,group B,some high school,free/reduced,completed,7.4,90,88
723,male,group C,high school,standard,none,5.0,48,42
724,male,group B,some college,standard,none,4.7,43,41
725,male,group E,some college,standard,completed,8.1,74,71
726,female,group E,associate's degree,standard,completed,6.5,75,77
727,male,group E,some high school,standard,completed,6.8,51,57
728,female,group D,high school,free/reduced,none,7.3,92,84
729,male,group C,some college,standard,none,5.3,39,37
730,female,group B,associate's degree,free/reduced,completed,6.8,77,80
731,male,group A,some high school,free/reduced,none,5.5,46,43
732,female,group C,some college,standard,completed,8.7,89,94
733,male,group D,some high school,standard,none,5.5,47,44
734,female,group E,some college,free/reduced,none,5.3,58,57
735,male,group C,master's degree,standard,none,6.7,57,59
736,male,group C,associate's degree,standard,none,9.2,79,84
737,female,group B,some college,free/reduced,completed,5.3,66,73
738,male,group D,associate's degree,standard,none,8.1,71,73
739,male,group C,high school,free/reduced,none,6.1,60,55
740,male,group D,bachelor's degree,standard,none,8.0,73,72
741,female,group A,associate's degree,free/reduced,none,3.7,57,56
742,female,group C,high school,standard,none,8.1,84,82
743,female,group C,associate's degree,standard,completed,5.9,73,72
744,male,group B,some college,free/reduced,none,5.5,55,47
745,male,group D,associate's degree,standard,none,7.2,79,74
746,male,group D,high school,standard,none,6.9,75,71
747,male,group C,some college,standard,none,6.9,64,68
748,female,group C,bachelor's degree,free/reduced,none,5.0,60,59
749,male,group B,some college,standard,completed,8.7,84,86
750,male,group D,some high school,standard,completed,7.1,69,68
751,male,group E,some college,standard,none,6.8,72,65
752,male,group C,master's degree,free/reduced,completed,7.9,77,75
753,female,group C,some high school,standard,completed,7.7,90,85
754,male,group C,associate's degree,free/reduced,none,5.8,55,53
755,female,group E,associate's degree,standard,none,8.4,95,92
756,male,group D,some college,standard,none,5.5,58,52
757,male,group E,bachelor's degree,free/reduced,completed,7.0,68,72
758,female,group D,some college,free/reduced,completed,5.2,59,65
759,male,group B,some college,standard,completed,6.9,77,77
760,female,group C,high school,free/reduced,none,5.3,72,64
761,female,group D,some high school,standard,none,4.8,58,54
762,male,group D,some high school,standard,completed,7.8,81,86
763,female,group B,high school,standard,none,6.2,62,63
764,male,group D,some college,standard,none,6.0,63,59
765,female,group B,high school,standard,none,7.4,72,72
766,female,group C,high school,standard,completed,5.8,75,77
767,male,group B,high school,standard,completed,7.6,62,60
768,female,group D,some high school,standard,none,6.8,71,75
769,male,group A,some college,free/reduced,none,5.8,60,57
770,male,group B,high school,standard,none,5.2,48,49
771,male,group D,bachelor's degree,standard,none,7.5,73,74
772,female,group B,some high school,free/reduced,completed,5.2,67,72
773,female,group C,bachelor's degree,free/reduced,none,6.2,78,79
774,male,group B,some college,standard,none,6.6,65,60
775,female,group B,some high school,free/reduced,none,4.9,58,55
776,female,group B,high school,standard,none,6.6,72,70
777,female,group C,some college,free/reduced,none,3.5,44,43
778,female,group A,some college,standard,completed,7.2,79,82
779,male,group E,associate's degree,standard,completed,9.4,85,82
780,female,group D,associate's degree,free/reduced,none,4.6,56,57
781,female,group B,master's degree,standard,none,7.7,90,84
782,female,group B,high school,free/reduced,completed,7.6,85,82
783,female,group C,associate's degree,standard,completed,5.2,59,62
784,male,group C,bachelor's degree,standard,completed,9.1,81,79
785,female,group B,some high school,standard,completed,3.2,51,44
786,female,group E,some high school,free/reduced,none,7.2,79,77
787,female,group B,some college,standard,none,1.9,38,32
788,male,group C,associate's degree,free/reduced,none,6.8,65,61
789,female,group C,master's degree,free/reduced,none,5.2,65,61
790,female,group B,high school,standard,none,4.8,62,60
791,female,group D,some college,free/reduced,none,6.0,66,70
792,male,group D,high school,free/reduced,none,6.6,74,69
793,male,group E,some high school,standard,completed,8.9,84,77
794,female,group B,high school,standard,none,4.2,52,51
795,female,group E,associate's degree,free/reduced,completed,5.7,68,73
796,male,group D,high school,standard,none,7.0,70,70
797,female,group E,associate's degree,free/reduced,none,7.0,84,81
798,male,group E,some college,standard,none,6.9,60,54
799,female,group C,associate's degree,standard,none,5.2,55,57
800,male,group C,some high school,standard,completed,6.7,73,68
801,male,group C,some high school,standard,completed,7.6,80,73
802,female,group E,associate's degree,standard,none,8.7,94,95
803,female,group B,some college,standard,none,8.2,85,87
804,female,group C,some college,standard,none,7.3,76,78
805,male,group A,some college,free/reduced,none,7.5,81,74
806,female,group D,some college,free/reduced,none,6.4,74,75
807,female,group E,high school,free/reduced,none,4.1,45,40
808,male,group C,high school,standard,none,9.0,75,69
809,male,group B,bachelor's degree,standard,none,5.9,54,51
810,male,group A,some high school,standard,none,5.1,31,36
811,male,group A,high school,free/reduced,none,4.5,47,49
812,female,group C,master's degree,standard,completed,5.4,64,67
813,male,group E,some high school,standard,completed,8.7,84,76
814,female,group C,high school,standard,none,7.2,80,83
815,male,group B,some high school,standard,completed,9.4,86,87
816,female,group A,bachelor's degree,standard,none,4.5,59,64
817,male,group D,bachelor's degree,free/reduced,completed,6.1,70,76
818,female,group B,high school,free/reduced,none,6.0,72,68
819,female,group C,some high school,standard,none,7.7,91,88
820,female,group A,some high school,standard,completed,8.5,90,92
821,female,group D,bachelor's degree,free/reduced,none,7.8,90,93
822,male,group E,some college,free/reduced,completed,4.9,52,51
823,female,group B,high school,free/reduced,none,7.1,87,82
824,female,group C,some high school,free/reduced,none,4.8,58,52
825,male,group C,high school,standard,none,6.2,67,58
826,female,group C,associate's degree,free/reduced,completed,5.6,68,70
827,female,group C,some high school,standard,none,6.5,69,76
828,female,group D,some high school,free/reduced,completed,6.9,86,81
829,male,group B,some high school,standard,none,6.8,54,53
830,female,group A,some college,free/reduced,none,6.1,60,57
831,female,group C,bachelor's degree,free/reduced,completed,7.4,86,89
832,male,group A,bachelor's degree,standard,none,6.4,60,58
833,female,group B,high school,standard,completed,7.7,82,89
834,male,group B,some college,standard,none,5.8,50,45
835,female,group C,high school,standard,completed,6.0,64,74
836,male,group E,high school,standard,none,7.3,64,57
837,female,group A,high school,standard,completed,7.5,82,79
838,male,group B,associate's degree,free/reduced,completed,5.8,57,53
839,female,group C,associate's degree,standard,none,6.6,77,73
840,female,group D,high school,free/reduced,none,3.9,52,46
841,male,group C,some high school,standard,none,6.4,58,51
842,female,group B,high school,free/reduced,completed,2.3,44,36
843,male,group B,some college,free/reduced,completed,7.4,77,76
844,female,group D,some high school,free/reduced,completed,4.0,65,64
845,male,group E,master's degree,standard,none,9.0,85,84
846,male,group C,master's degree,standard,completed,9.1,85,85
847,male,group D,high school,standard,none,6.4,54,50
848,female,group C,high school,standard,none,5.9,72,68
849,male,group D,associate's degree,standard,none,8.0,75,69
850,male,group C,master's degree,standard,none,7.1,67,67
851,female,group A,high school,standard,none,6.1,68,63
852,female,group E,some college,standard,none,8.7,85,93
853,male,group E,some high school,standard,none,8.2,67,61
854,male,group C,some high school,standard,none,6.2,64,55
855,female,group B,bachelor's degree,standard,none,9.7,97,96
856,male,group B,some college,free/reduced,none,7.5,68,65
857,female,group C,bachelor's degree,standard,none,6.5,79,81
858,male,group B,high school,standard,completed,5.2,49,46
859,male,group C,associate's degree,free/reduced,none,8.7,73,72
860,female,group C,associate's degree,standard,none,5.3,62,53
861,female,group E,master's degree,free/reduced,none,8.1,86,87
862,male,group D,bachelor's degree,free/reduced,completed,3.9,42,38
863,female,group C,some college,standard,completed,7.1,71,80
864,male,group C,associate's degree,standard,none,9.7,93,91
865,male,group D,some college,standard,completed,8.2,82,88
866,male,group C,high school,free/reduced,none,5.9,53,52
867,male,group B,associate's degree,standard,none,6.1,42,41
868,male,group E,associate's degree,free/reduced,completed,7.8,74,72
869,male,group C,associate's degree,free/reduced,none,4.9,51,51
870,male,group B,high school,standard,none,5.9,58,47
871,female,group C,some college,standard,completed,7.0,72,76
872,male,group B,associate's degree,standard,completed,8.2,84,78
873,male,group E,associate's degree,free/reduced,none,9.0,90,82
874,female,group C,bachelor's degree,free/reduced,none,4.3,62,61
875,male,group C,some college,free/reduced,none,8.0,64,66
876,male,group D,some college,standard,none,8.1,82,84
877,male,group C,some high school,standard,none,5.7,61,54
878,female,group D,some high school,standard,none,5.9,72,80
879,female,group D,associate's degree,standard,none,6.4,76,74
880,male,group C,bachelor's degree,standard,completed,6.3,64,66
881,female,group E,bachelor's degree,standard,completed,7.1,70,70
882,female,group B,high school,free/reduced,none,6.4,73,71
883,male,group D,bachelor's degree,free/reduced,none,5.5,46,44
884,female,group E,associate's degree,standard,none,5.1,51,54
885,female,group C,associate's degree,standard,completed,6.2,76,80
886,female,group E,associate's degree,standard,completed,9.3,100,95
887,male,group C,high school,free/reduced,none,5.4,72,59
888,female,group D,some college,free/reduced,none,6.9,65,74
889,male,group D,high school,free/reduced,none,4.4,51,48
890,female,group E,some college,standard,completed,8.6,85,91
891,female,group E,associate's degree,standard,none,8.5,92,85
892,female,group A,master's degree,free/reduced,none,5.0,67,73
893,male,group D,some high school,standard,completed,8.8,74,75
894,female,group E,associate's degree,standard,none,5.9,62,69
895,female,group E,some high school,free/reduced,none,3.2,34,38
896,male,group B,high school,free/reduced,none,3.6,29,27
897,female,group B,some high school,free/reduced,completed,6.3,78,79
898,male,group D,associate's degree,standard,completed,6.7,54,63
899,female,group D,some high school,standard,completed,6.5,78,82
900,male,group D,master's degree,standard,none,8.5,84,89
901,female,group C,master's degree,standard,none,7.3,78,74
902,female,group A,high school,free/reduced,completed,3.4,48,41
903,female,group D,bachelor's degree,free/reduced,completed,9.3,100,100
904,female,group D,some high school,free/reduced,none,6.7,84,84
905,male,group D,some college,standard,none,8.8,77,77
906,male,group B,high school,standard,none,5.7,48,51
907,female,group D,some college,standard,completed,7.9,84,91
908,female,group C,bachelor's degree,free/reduced,none,6.7,75,72
909,male,group E,bachelor's degree,standard,completed,7.0,64,70
910,male,group D,bachelor's degree,free/reduced,none,5.0,42,48
911,female,group A,some college,standard,none,6.9,84,82
912,female,group C,bachelor's degree,standard,completed,5.2,61,66
913,female,group C,bachelor's degree,free/reduced,completed,4.7,62,66
914,female,group B,associate's degree,free/reduced,none,4.6,61,55
915,female,group E,some college,standard,none,6.8,70,66
916,male,group E,bachelor's degree,standard,completed,10.0,100,100
917,female,group C,high school,standard,none,4.4,61,52
918,female,group C,associate's degree,standard,completed,5.7,77,80
919,male,group B,some college,standard,completed,9.1,96,91
920,male,group D,high school,free/reduced,none,6.9,70,67
921,female,group C,high school,free/reduced,none,3.5,53,46
922,male,group D,high school,standard,none,7.2,66,66
923,female,group B,associate's degree,free/reduced,none,5.4,65,65
924,male,group D,high school,free/reduced,none,7.4,70,69
925,male,group E,some high school,standard,completed,7.4,64,60
926,male,group E,associate's degree,free/reduced,none,6.4,56,52
927,female,group D,high school,free/reduced,completed,6.5,61,71
928,male,group E,associate's degree,free/reduced,completed,4.6,43,44
929,female,group C,some high school,free/reduced,none,4.8,56,51
930,male,group C,some college,free/reduced,completed,6.7,74,70
931,male,group D,some college,free/reduced,none,6.2,57,62
932,male,group D,associate's degree,free/reduced,completed,6.1,71,73
933,male,group C,bachelor's degree,free/reduced,completed,7.0,75,74
934,male,group C,associate's degree,standard,completed,9.8,87,90
935,male,group D,some college,free/reduced,none,7.0,63,58
936,male,group A,associate's degree,standard,none,6.7,57,53
937,female,group E,high school,free/reduced,none,5.7,58,57
938,male,group D,some college,standard,completed,8.5,81,85
939,male,group D,some high school,standard,completed,7.7,68,69
940,male,group C,master's degree,free/reduced,completed,7.2,66,72
941,female,group D,master's degree,standard,none,7.8,91,96
942,male,group C,high school,standard,none,8.1,66,64
943,male,group A,some high school,free/reduced,completed,6.1,62,61
944,female,group B,high school,standard,none,5.8,68,61
945,female,group C,associate's degree,standard,none,5.4,61,58
946,male,group B,high school,standard,none,8.2,82,80
947,female,group D,some college,free/reduced,none,4.9,58,60
948,male,group B,some high school,free/reduced,completed,4.9,50,52
949,female,group E,high school,free/reduced,completed,5.7,75,73
950,male,group E,high school,standard,none,9.4,73,71
951,female,group D,some college,standard,completed,7.5,77,83
952,female,group E,some high school,free/reduced,none,7.4,74,72
953,male,group C,high school,standard,completed,5.8,52,54
954,female,group C,some college,standard,none,6.2,69,69
955,male,group E,associate's degree,standard,none,7.2,57,62
956,male,group C,some college,standard,none,8.4,87,81
957,female,group D,master's degree,standard,none,9.2,100,100
958,female,group D,high school,standard,none,4.5,63,59
959,male,group C,high school,standard,none,7.5,81,71
960,female,group A,some college,standard,none,5.6,58,64
961,female,group D,some high school,free/reduced,none,4.8,54,53
962,female,group E,associate's degree,standard,none,10.0,100,100
963,female,group C,some high school,free/reduced,completed,6.5,76,75
964,male,group D,some college,standard,none,7.2,57,58
965,female,group D,some college,standard,none,6.2,70,72
966,male,group A,some high school,standard,completed,6.6,68,64
967,male,group C,some college,standard,none,6.3,63,60
968,female,group E,associate's degree,standard,none,6.8,76,67
969,female,group B,bachelor's degree,standard,none,7.5,84,80
970,female,group D,bachelor's degree,standard,none,8.9,100,100
971,male,group C,some high school,standard,completed,7.8,72,69
972,female,group A,high school,free/reduced,completed,5.3,50,60
973,female,group D,some college,free/reduced,none,4.9,65,61
974,female,group A,some college,standard,none,5.4,63,67
975,female,group C,some college,standard,completed,6.4,82,77
976,male,group B,some college,free/reduced,completed,6.0,62,60
977,male,group C,associate's degree,standard,none,6.2,65,58
978,male,group D,high school,standard,completed,5.5,41,48
979,female,group C,associate's degree,standard,none,9.1,95,94
980,female,group B,high school,free/reduced,none,0.8,24,23
981,male,group D,some high school,standard,none,8.1,78,78
982,male,group B,some high school,standard,completed,7.9,85,86
983,female,group A,some college,standard,completed,7.8,87,91
984,female,group C,some high school,standard,none,7.4,75,82
985,male,group A,high school,standard,none,5.7,51,54
986,female,group C,associate's degree,standard,none,4.0,59,51
987,male,group E,some high school,standard,completed,8.1,75,76
988,female,group A,some high school,free/reduced,none,4.4,45,45
989,female,group D,some college,free/reduced,completed,6.7,86,83
990,male,group E,high school,free/reduced,completed,8.6,81,75
991,female,group B,some high school,standard,completed,6.5,82,78
992,female,group D,associate's degree,free/reduced,none,5.5,76,76
993,female,group D,bachelor's degree,free/reduced,none,6.2,72,74
994,male,group A,high school,standard,none,6.3,63,62
995,female,group E,master's degree,standard,completed,8.8,99,95
996,male,group C,high school,free/reduced,none,6.2,55,55
997,female,group C,high school,free/reduced,completed,5.9,71,65
998,female,group D,some college,standard,completed,6.8,78,77
999,female,group D,some college,free/reduced,none,7.7,86,86
